,Date,Open,High,Low,Close,Volume,Market Cap
0,2018-01-01,2.296020031,2.3910300732,2.1489698887,2.3910300732,1894230016.0,92626457503.5
1,2018-01-02,2.3694798946,2.4891901016,2.2479300499,2.4809000492,3171010048.0,96107944450.9
2,2018-01-03,2.464099884,3.2793800831,2.4431500435,3.1053700447,6635879936.0,120299378234.0
3,2018-01-04,3.1173400879,3.8419399261,3.1173400879,3.1966300011,8103660032.0,123834712592.0
4,2018-01-05,3.3008100986,3.5646800995,2.8256099224,3.0487101078,6288500224.0,118104418286.0
5,2018-01-06,3.0210499763,3.2365601063,2.9899199009,3.0939700603,2777560064.0,119857751982.0
6,2018-01-07,3.0929598808,3.4872500896,3.0838201046,3.3778100014,2395150080.0,130853470856.0
7,2018-01-08,3.3635699749,3.3635699749,2.0655200481,2.456209898,3315259904.0,95151474964.6
8,2018-01-09,2.4434599876,2.5289599895,1.9806599617,2.1017799377,3694700032.0,81421159856.5
9,2018-01-10,2.1299099922,2.1588699818,1.6951899529,1.9749200344,4833639936.0,76506707920.3
10,2018-01-11,1.9802099466,2.2489800453,1.6152700186,1.950799942,6296119808.0,75572319795.7
11,2018-01-12,1.9404799938,2.1568200588,1.86729002,2.0432300568,3330810112.0,79152978765.7
12,2018-01-13,2.0514099598,2.1187000275,1.9820200205,2.0213499069,2130169984.0,78305366321.0
13,2018-01-14,2.0185201168,2.0185201168,1.8118400574,1.8611899614,1978200064.0,72100905208.4
14,2018-01-15,1.8562500477,1.9008100033,1.6652899981,1.6767300367,1838460032.0,64955082925.5
15,2018-01-16,1.6783599854,1.7013800144,0.9093130231,1.1792399883,5687960064.0,45682746768.4
16,2018-01-17,1.1836800575,1.3767299652,0.8977969885,1.3063399792,7251210240.0,50606491819.7
17,2018-01-18,1.30558002,1.7331899405,1.2560499907,1.5965800285,9110439936.0,61850140629.2
18,2018-01-19,1.5821700096,1.7021399736,1.5013400316,1.5520499945,3697430016.0,60125086599.8
19,2018-01-20,1.5628399849,1.6283299923,1.5027400255,1.578619957,2346449920.0,61154385624.3
20,2018-01-21,1.5762300491,1.5762300491,1.3430299759,1.3800400496,2840750080.0,53461566644.9
21,2018-01-22,1.3916100264,1.4284100533,1.163079977,1.3573499918,2642510080.0,52582575494.5
22,2018-01-23,1.3531899452,1.4347200394,1.2042599916,1.3370699883,2977080064.0,51796945678.3
23,2018-01-24,1.3521200418,1.4249600172,1.3078399897,1.3571499586,1853440000.0,52574827665.9
24,2018-01-25,1.3632500172,1.3848400116,1.2928700447,1.312229991,986067968.0,50834665370.9
25,2018-01-26,1.3089200258,1.3260200024,1.1349999905,1.2172700167,2037570048.0,47155996369.5
26,2018-01-27,1.2178900242,1.2394800186,1.189440012,1.2191100121,689100992.0,47227276392.3
27,2018-01-28,1.2238899469,1.4381200075,1.2238899469,1.399600029,1327360000.0,54219304278.3
28,2018-01-29,1.3992099762,1.4052499533,1.2991299629,1.3239699602,1073680000.0,51289462907.5
29,2018-01-30,1.3281799555,1.3281799555,1.1311299801,1.1385600567,1134640000.0,44106838438.9
30,2018-01-31,1.1306600571,1.1909300089,1.0366100073,1.1623899937,1264029952.0,45029992212.1
31,2018-02-01,1.1608799696,1.1626000404,0.9303780198,0.9625300169,1410419968.0,37547540520.6
32,2018-02-02,0.9606419802,0.9606419802,0.6351850033,0.8847839832,3529760000.0,34514730026.0
33,2018-02-03,0.8919919729,0.9747989774,0.7616350055,0.9240429997,1988960000.0,36046192830.6
34,2018-02-04,0.913417995,0.9529470205,0.7968209982,0.8157029748,1190960000.0,31819934386.7
35,2018-02-05,0.8259429932,0.8338660002,0.6758270264,0.691798985,1286179968.0,26986536507.5
36,2018-02-06,0.7051209807,0.7860040069,0.5883600116,0.7763929963,2361139968.0,30286482112.1
37,2018-02-07,0.7745760083,0.8054779768,0.7069500089,0.7238950133,1133369984.0,28238576299.0
38,2018-02-08,0.7292519808,0.8069700003,0.7226110101,0.8052629828,947315008.0,31412678173.4
39,2018-02-09,0.7971400023,0.9544280171,0.7715399861,0.9544280171,1690339968.0,37231487853.8
40,2018-02-10,0.9472510219,1.3005900383,0.9472510219,1.0707399845,4682010112.0,41768727766.4
41,2018-02-11,1.0673300028,1.0750999451,0.9297670126,1.0041600466,2555310080.0,39171494175.9
42,2018-02-12,1.0065000057,1.1067299843,1.0065000057,1.081009984,1756290048.0,42169352413.0
43,2018-02-13,1.0797400475,1.0829299688,1.0147099495,1.0274100304,921100032.0,40078458444.1
44,2018-02-14,1.0260800123,1.1650999784,1.0212899446,1.1416200399,1457600000.0,44533700985.0
45,2018-02-15,1.1390500069,1.16395998,1.1114699841,1.1468600035,1188530048.0,44738109276.0
46,2018-02-16,1.1449400187,1.1518399715,1.1126099825,1.1380300522,568339008.0,44393657900.1
47,2018-02-17,1.1374299526,1.2175899744,1.1325199604,1.2049800158,1186729984.0,47005324900.5
48,2018-02-18,1.2047799826,1.2073400021,1.0933599472,1.1204600334,1113650048.0,43708265977.8
49,2018-02-19,1.123149991,1.1664299965,1.1209700108,1.1444200277,556304000.0,44642926789.3
50,2018-02-20,1.1445499659,1.1744799614,1.0836499929,1.0894600153,806673024.0,42498980286.9
51,2018-02-21,1.0819900036,1.0958800316,0.9988809824,1.0153900385,871526016.0,39609567669.7
52,2018-02-22,1.0122599602,1.0473200083,0.922457993,0.9417880177,889707008.0,36738411365.6
53,2018-02-23,0.9341760278,1.0272099972,0.898285985,0.9988549948,896403968.0,39050038643.5
54,2018-02-24,0.9976590276,1.0139399767,0.9294559956,0.9544020295,489920000.0,37312157401.6
55,2018-02-25,0.9519770145,0.9675970078,0.9152789712,0.9434869885,360271008.0,36885437635.7
56,2018-02-26,0.9437040091,0.9709060192,0.9134029746,0.9568589926,458612992.0,37408213330.6
57,2018-02-27,0.9593020082,0.9725800157,0.9449769855,0.9473050237,312712992.0,37034701590.5
